floor,rooms,sq,district,distance_to_nearest_metro,distance_to_pkin,living_condition_index,age_of_house,es_index,price
3.0,1.0,24.38,Praga-Południe,4.309423598976693,7.149523136276825,0.5454636858623828,0,0.9610624441897847,240548.0
1.0,5.0,105.0,Ochota,2.283529009229309,3.173343998117241,0.7214716936169109,1,0.596662429923007,996000.0
10.0,6.0,280.0,Mokotów,2.7407737800839493,5.9104270106978944,0.6781227463331748,18,0.8616478703247171,2890000.0
3.0,4.0,63.4,Ursynów,0.14215542090536093,10.740926446126196,0.5401763993930565,39,0.9191525758377261,615000.0
1.0,1.0,40.0,Bemowo,2.6977374775250196,6.411034460051335,0.33422217412664573,22,0.8860438105876933,429000.0
0.0,1.0,29.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8096640332723918,53,0.37746016307013625,375000.0
2.0,3.0,67.0,Praga-Południe,4.595402102264295,6.853346184585804,0.542689961902255,32,0.9713379260462291,520000.0
0.0,3.0,57.0,Białołęka,4.951905478123489,9.828843897079137,0.2425195031258156,1,0.8577214260551912,400000.0
0.0,2.0,52.27,Wola,0.1566164850086975,3.560946574911859,0.679210738191429,0,0.6813737427986092,591771.83
2.0,2.0,52.0,Białołęka,4.951905478123489,9.828843897079137,0.2663392176622263,16,0.9417522324253863,489000.0
1.0,1.0,35.8,Praga-Południe,1.993290774867635,4.4745223113930574,0.5730601985971552,0,0.9363562503986637,393800.0
0.0,3.0,67.4,Ursynów,1.2218834890476398,7.626077073169183,0.5570047790549149,13,0.8417176298302648,869000.0
3.0,3.0,72.0,Ochota,1.7350218157631039,2.5377362789818236,0.6692637064918135,61,0.5799692787999884,950000.0
4.0,3.0,65.1,Bemowo,0.43556449092625094,0.02832371015692246,0.29922161782236667,8,0.7927666195996199,670000.0
2.0,3.0,94.0,Śródmieście,0.9813071797720367,1.4117792784944037,0.8901534076993629,131,0.3794003428017935,2256000.0
10.0,2.0,39.0,Śródmieście,0.4689940785432357,0.9711601086366757,0.7974006743685498,49,0.3964244474168519,440000.0
1.0,2.0,47.0,Praga-Północ,1.005103697777655,3.8163060017458594,0.47681294762284854,2,0.6136587283146071,840000.0
2.0,2.0,65.55,Śródmieście,0.9813071797720367,1.4117792784944037,0.7680644540807281,12,0.4358961951175983,1699000.0
1.0,2.0,51.59,Wola,1.1783488956715982,3.4380198026508344,0.6389964494604644,1,0.8155842581100265,865000.0
4.0,2.0,50.0,Praga-Południe,0.43556449092625094,0.02832371015692246,0.5393920551741245,3,0.9000519934728815,670000.0
1.0,1.0,37.0,Wola,0.1566164850086975,3.560946574911859,0.7174945145935291,18,0.7647327930265818,530000.0
0.0,2.0,44.0,Mokotów,2.4909011916369406,4.994823304914785,0.728210480307542,47,0.8986551095520002,458000.0
4.0,1.0,23.0,Ochota,2.295093144500393,2.959048269788005,0.6671797669963222,61,0.6682486352982318,319000.0
1.0,2.0,45.24,Wola,1.2581836400080328,3.759147830983273,0.699442161466898,0,0.7392919015964072,517329.0
1.0,1.0,33.62,Białołęka,4.951905478123489,9.828843897079137,0.28663712787760404,2,0.9332929213241953,430336.0
4.0,1.0,26.8,Wola,0.2078463593338427,1.910377081422913,0.7013652456068197,4,0.7778672142655237,420000.0
3.0,2.0,38.0,Praga-Południe,1.4684542268722616,3.299111998290923,0.5608977327167619,83,0.8640465453667355,670000.0
9.0,2.0,35.5,Wola,0.6439007618897018,1.3666621003457209,0.7155079222659684,58,0.7364131709846553,519000.0
1.0,2.0,37.5,Praga-Południe,2.0182341329837112,4.2017394800023835,0.5338067098609114,51,0.884627188367313,515000.0
2.0,3.0,65.0,Białołęka,4.951905478123489,9.828843897079137,0.24826836370861188,2,1.0003700178490684,460000.0
4.0,2.0,43.9,Praga-Południe,4.309423598976693,7.149523136276825,0.6126356497256771,51,0.9657774319114341,480000.0
0.0,3.0,110.8,Wilanów,1.724908698496279,9.650367059158693,0.402115147012166,6,0.9618740551815226,1388000.0
9.0,2.0,55.2,Praga-Południe,1.993290774867635,4.4745223113930574,0.610693962412278,9,0.9166706922879426,699000.0
6.0,2.0,28.0,Śródmieście,0.4689940785432357,0.9711601086366757,0.910314870301583,41,0.4449637199234268,430000.0
4.0,3.0,49.0,Włochy,3.773771488917721,6.4456601977431545,0.56362262255046,50,0.795297904174372,550000.0
1.0,3.0,53.0,Białołęka,4.369007297437188,10.843383161490951,0.27937814037518965,0,0.9003868522569533,393000.0
1.0,2.0,43.89,Praga-Południe,0.43556449092625094,0.02832371015692246,0.5509668489363944,1,0.8389177027395917,630000.0
7.0,3.0,65.0,Mokotów,2.4909011916369406,4.994823304914785,0.6270584743547545,3,0.8054705342697714,916860.0
2.0,4.0,75.3,Białołęka,4.951905478123489,9.828843897079137,0.28849819135709426,4,1.0125747393067541,659000.0
1.0,3.0,94.83,Wilanów,2.729649993958965,8.794462069880195,0.3942040106070518,14,0.9883555641486825,1250000.0
2.0,3.0,72.0,Ursynów,1.3860446779782731,10.253480866517846,0.5631793625718806,20,0.8600169390348843,875000.0
1.0,1.0,31.4,Żoliborz,0.5112420725452168,3.1848906732443907,0.5879314469901018,1,0.8804876107744081,518100.0
1.0,2.0,33.18,Mokotów,1.6189060425368227,4.177870300729114,0.7022768723478473,41,0.925661027086249,350000.0
3.0,3.0,66.0,Ursynów,1.4395286488420724,8.062045365975104,0.4925565427618603,3,0.8937501948719356,840000.0
2.0,3.0,77.75,Ursus,6.514660573721481,9.329361463786656,0.32316051365418746,14,0.9355655541099628,799990.0
10.0,3.0,51.0,Bielany,1.3375742885188746,6.505846313601686,0.3937331843654235,49,0.7881868404726144,539000.0
1.0,2.0,48.0,Białołęka,0.43556449092625094,0.02832371015692246,0.2597534973972754,1,0.8480253724934315,401000.0
9.0,3.0,65.0,Praga-Południe,4.595402102264295,6.853346184585804,0.5831838196841995,41,0.9517572558265358,565000.0
6.0,5.0,120.0,Wola,0.1566164850086975,3.560946574911859,0.6138010030718858,1,0.7722963735928368,1930000.0
1.0,6.0,257.92,Wilanów,3.6795952474755325,8.48567785261221,0.4151617196654847,1,0.8901805955031761,4150000.0
1.0,4.0,69.28,Wola,1.626786192373822,3.0981326995184038,0.6875775360137509,3,0.8132189286019118,1169000.0
1.0,2.0,42.9,Ursynów,1.4395286488420724,8.062045365975104,0.47235989467088013,1,0.8570645070102898,495000.0
9.0,1.0,30.5,Targówek,0.6682554815292581,5.980828169701148,0.46262479977416077,48,0.9179610802159679,315000.0
5.0,3.0,79.0,Praga-Północ,1.005103697777655,3.8163060017458594,0.4589140202841259,2,0.551137857995319,1150000.0
0.0,3.0,63.3,Ursus,0.653230023690328,2.1488138944080433,0.2996104710638481,16,0.8855217654790325,569000.0
10.0,5.0,271.6,Śródmieście,0.24751479487484437,0.8726978421186736,0.8500140118001426,0,0.42401324741143603,9506700.0
0.0,3.0,47.5,Targówek,2.3306182392209265,7.528306046290943,0.5024006196326413,48,0.8665713965006352,450000.0
1.0,3.0,78.6,Mokotów,1.4480134242624543,4.340298720659052,0.7328696784969467,15,0.8888367180606563,1228000.0
4.0,2.0,43.0,Mokotów,1.0565595715619909,1.7531376826340392,0.6359894699752424,46,0.8494418227013261,545000.0
4.0,4.0,82.0,Mokotów,1.6061161279217726,2.549719975928223,0.6137290315453885,0,0.827722682948501,955241.0
1.0,2.0,38.7,Białołęka,5.275577013034318,13.944545612571297,0.2639184191743914,20,0.9059234448165627,380000.0
